partial_exit_ratio,min_adx,fib_ratios,min_atr,net_pl,sharpe,win_rate,total_trades
0.5,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.5,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.5,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.5,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.5,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.5,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.5,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.5,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.5,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.5,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.5,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.5,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.5,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.5,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.5,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.6,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.6,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.6,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.6,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.6,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.6,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.6,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.6,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.6,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.6,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.6,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.6,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.6,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.6,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.6,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.7,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.7,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.7,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.7,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.7,20,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.7,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.7,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.7,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.7,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.7,25,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
0.7,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.5,-9.07,-1.643,0.0,2
0.7,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.6,-9.07,-1.643,0.0,2
0.7,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",0.75,-9.07,-1.643,0.0,2
0.7,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.0,-9.07,-1.643,0.0,2
0.7,30,"[0.382, 0.618, 1.272, 1.618, 2.0]",1.5,-9.07,-1.643,0.0,2
